"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2011","Luxembourg","Finland","Total","Total","Number","126",""
"2011","Luxembourg","Sweden","Total","Total","Number","97",""
"2011","Luxembourg","United Kingdom","Total","Total","Number","427",""
"2011","Luxembourg","Norway","Total","Total","Number","27",""
"2011","Luxembourg","Switzerland","Total","Total","Number","68",""
"2011","Luxembourg","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","356",""
"2011","Luxembourg","Turkey","Total","Total","Number","77",""
"2011","Luxembourg","Albania","Total","Total","Number","40",""
"2011","Luxembourg","Bosnia and Herzegovina","Total","Total","Number","94",""
"2011","Luxembourg","Serbia","Total","Total","Number","727",""
"2011","Hungary","Total","Total","Total","Number","28,018",""
"2011","Hungary","Reporting country","Total","Total","Number","5,504",""
"2011","Hungary","Foreign country","Total","Total","Number","22,305",""
"2011","Hungary","Belgium","Total","Total","Number","117",""
"2011","Hungary","Bulgaria","Total","Total","Number","77",""
"2011","Hungary","Czechia","Total","Total","Number","56",""
"2011","Hungary","Denmark","Total","Total","Number","36",""
"2011","Hungary","Germany (until 1990 former territory of the FRG)","Total","Total","Number","2,428",""
"2011","Hungary","Estonia","Total","Total","Number","18",""
"2011","Hungary","Ireland","Total","Total","Number","59",""
"2011","Hungary","Greece","Total","Total","Number","63",""
"2011","Hungary","Spain","Total","Total","Number","161",""
"2011","Hungary","France","Total","Total","Number","328",""
"2011","Hungary","Croatia","Total","Total","Number","221",""
"2011","Hungary","Italy","Total","Total","Number","318",""
"2011","Hungary","Cyprus","Total","Total","Number","32",""
"2011","Hungary","Latvia","Total","Total","Number","21",""
"2011","Hungary","Lithuania","Total","Total","Number","25",""
"2011","Hungary","Luxembourg","Total","Total","Number","2",""
"2011","Hungary","Hungary","Total","Total","Number","5,504",""
"2011","Hungary","Netherlands","Total","Total","Number","320",""
"2011","Hungary","Austria","Total","Total","Number","541",""
"2011","Hungary","Poland","Total","Total","Number","193",""
"2011","Hungary","Portugal","Total","Total","Number","68",""
"2011","Hungary","Romania","Total","Total","Number","5,804",""
"2011","Hungary","Slovenia","Total","Total","Number","46",""
"2011","Hungary","Slovakia","Total","Total","Number","1,129",""
"2011","Hungary","Finland","Total","Total","Number","56",""
"2011","Hungary","Sweden","Total","Total","Number","148",""
"2011","Hungary","United Kingdom","Total","Total","Number","395",""
"2011","Hungary","Norway","Total","Total","Number","182",""
"2011","Hungary","Switzerland","Total","Total","Number","111",""
"2011","Hungary","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","32",""
"2011","Hungary","Turkey","Total","Total","Number","576",""
"2011","Hungary","Albania","Total","Total","Number","18",""
"2011","Hungary","Bosnia and Herzegovina","Total","Total","Number","45",""
"2011","Hungary","Serbia","Total","Total","Number","846",""
"2011","Netherlands","Total","Total","Total","Number","130,118",""
"2011","Netherlands","Reporting country","Total","Total","Number","37,762",""
"2011","Netherlands","Foreign country","Total","Total","Number","84,541",""
