"TIME","GEO","CITIZEN","C_BIRTH","SEX","UNIT","Value","Flag and Footnotes"
"2008","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Bosnia and Herzegovina","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Africa","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","America","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Asia","Total","Total","Number",":",""
"2008","Germany (until 1990 former territory of the FRG)","Oceania","Total","Total","Number",":",""
"2008","Estonia","Total","Total","Total","Number","3,671",""
"2008","Estonia","Reporting country","Total","Total","Number","1,742",""
"2008","Estonia","Foreign country","Total","Total","Number","1,929",""
"2008","Estonia","Unknown","Total","Total","Number","0",""
"2008","Estonia","Europe","Total","Total","Number",":",""
"2008","Estonia","Belgium","Total","Total","Number","11",""
"2008","Estonia","Bulgaria","Total","Total","Number","14",""
"2008","Estonia","Czechia","Total","Total","Number","17",""
"2008","Estonia","Denmark","Total","Total","Number","13",""
"2008","Estonia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","123",""
"2008","Estonia","Estonia","Total","Total","Number","1,742",""
"2008","Estonia","Ireland","Total","Total","Number","7",""
"2008","Estonia","Greece","Total","Total","Number","1",""
"2008","Estonia","Spain","Total","Total","Number","40",""
"2008","Estonia","France","Total","Total","Number","48",""
"2008","Estonia","Croatia","Total","Total","Number","0",""
"2008","Estonia","Italy","Total","Total","Number","50",""
"2008","Estonia","Cyprus","Total","Total","Number","1",""
"2008","Estonia","Latvia","Total","Total","Number","78",""
"2008","Estonia","Lithuania","Total","Total","Number","70",""
"2008","Estonia","Luxembourg","Total","Total","Number","0",""
"2008","Estonia","Hungary","Total","Total","Number","14",""
"2008","Estonia","Malta","Total","Total","Number","0",""
"2008","Estonia","Netherlands","Total","Total","Number","15",""
"2008","Estonia","Austria","Total","Total","Number","12",""
"2008","Estonia","Poland","Total","Total","Number","31",""
"2008","Estonia","Portugal","Total","Total","Number","18",""
"2008","Estonia","Romania","Total","Total","Number","10",""
"2008","Estonia","Slovenia","Total","Total","Number","3",""
"2008","Estonia","Slovakia","Total","Total","Number","3",""
"2008","Estonia","Finland","Total","Total","Number","303",""
