"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Austria","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Poland","Total","Age reached during the year","Total","Number","Total","265,798",""
"2011","Poland","Total","Age reached during the year","Total","Number","Males","133,744",""
"2011","Poland","Total","Age reached during the year","Total","Number","Females","132,054",""
"2011","Poland","Total","Age reached during the year","Less than 15 years","Number","Total","39,404",""
"2011","Poland","Total","Age reached during the year","Less than 15 years","Number","Males","20,130",""
"2011","Poland","Total","Age reached during the year","Less than 15 years","Number","Females","19,274",""
"2011","Poland","Total","Age reached during the year","From 15 to 64 years","Number","Total","216,707",""
"2011","Poland","Total","Age reached during the year","From 15 to 64 years","Number","Males","109,044",""
"2011","Poland","Total","Age reached during the year","From 15 to 64 years","Number","Females","107,663",""
"2011","Poland","Total","Age reached during the year","65 years or over","Number","Total","9,687",""
"2011","Poland","Total","Age reached during the year","65 years or over","Number","Males","4,570",""
"2011","Poland","Total","Age reached during the year","65 years or over","Number","Females","5,117",""
"2011","Portugal","Total","Age reached during the year","Total","Number","Total","43,998",""
"2011","Portugal","Total","Age reached during the year","Total","Number","Males","31,329",""
"2011","Portugal","Total","Age reached during the year","Total","Number","Females","12,669",""
"2011","Portugal","Total","Age reached during the year","Less than 15 years","Number","Total","10,482",""
"2011","Portugal","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Portugal","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Portugal","Total","Age reached during the year","From 15 to 64 years","Number","Total","32,963",""
"2011","Portugal","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Portugal","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Portugal","Total","Age reached during the year","65 years or over","Number","Total","553",""
"2011","Portugal","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Portugal","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Romania","Total","Age reached during the year","Total","Number","Total","195,551",""
"2011","Romania","Total","Age reached during the year","Total","Number","Males","87,389",""
"2011","Romania","Total","Age reached during the year","Total","Number","Females","108,162",""
"2011","Romania","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Romania","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Romania","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Romania","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Romania","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Romania","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Romania","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Romania","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Romania","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Slovenia","Total","Age reached during the year","Total","Number","Total","12,024",""
"2011","Slovenia","Total","Age reached during the year","Total","Number","Males","8,151",""
"2011","Slovenia","Total","Age reached during the year","Total","Number","Females","3,873",""
"2011","Slovenia","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Slovenia","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Slovenia","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Slovenia","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Slovenia","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Slovenia","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Slovenia","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Slovenia","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Slovenia","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Slovakia","Total","Age reached during the year","Total","Number","Total","1,863",""
"2011","Slovakia","Total","Age reached during the year","Total","Number","Males","751",""
"2011","Slovakia","Total","Age reached during the year","Total","Number","Females","1,112",""
"2011","Slovakia","Total","Age reached during the year","Less than 15 years","Number","Total",":",""
"2011","Slovakia","Total","Age reached during the year","Less than 15 years","Number","Males",":",""
"2011","Slovakia","Total","Age reached during the year","Less than 15 years","Number","Females",":",""
"2011","Slovakia","Total","Age reached during the year","From 15 to 64 years","Number","Total",":",""
"2011","Slovakia","Total","Age reached during the year","From 15 to 64 years","Number","Males",":",""
"2011","Slovakia","Total","Age reached during the year","From 15 to 64 years","Number","Females",":",""
"2011","Slovakia","Total","Age reached during the year","65 years or over","Number","Total",":",""
"2011","Slovakia","Total","Age reached during the year","65 years or over","Number","Males",":",""
"2011","Slovakia","Total","Age reached during the year","65 years or over","Number","Females",":",""
"2011","Finland","Total","Age reached during the year","Total","Number","Total","12,660",""
"2011","Finland","Total","Age reached during the year","Total","Number","Males","6,291",""
"2011","Finland","Total","Age reached during the year","Total","Number","Females","6,369",""
"2011","Finland","Total","Age reached during the year","Less than 15 years","Number","Total","1,937",""
"2011","Finland","Total","Age reached during the year","Less than 15 years","Number","Males","995",""
"2011","Finland","Total","Age reached during the year","Less than 15 years","Number","Females","942",""
"2011","Finland","Total","Age reached during the year","From 15 to 64 years","Number","Total","10,373",""
"2011","Finland","Total","Age reached during the year","From 15 to 64 years","Number","Males","5,112",""
"2011","Finland","Total","Age reached during the year","From 15 to 64 years","Number","Females","5,261",""
"2011","Finland","Total","Age reached during the year","65 years or over","Number","Total","350",""
"2011","Finland","Total","Age reached during the year","65 years or over","Number","Males","184",""
