"TIME","GEO","CITIZEN","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 5 years","Number","Total","18,681",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 5 years","Number","Males","9,560",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 5 years","Number","Females","9,121",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 5 to 9 years","Number","Total","22,020",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 5 to 9 years","Number","Males","11,210",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 5 to 9 years","Number","Females","10,810",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 10 to 14 years","Number","Total","15,844",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 10 to 14 years","Number","Males","8,104",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 10 to 14 years","Number","Females","7,740",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Total","56,545",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Males","28,874",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Less than 15 years","Number","Females","27,671",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 19 years","Number","Total","24,004",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 19 years","Number","Males","12,571",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 19 years","Number","Females","11,433",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Total","555,969",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Males","349,674",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 15 to 64 years","Number","Females","206,295",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 20 to 24 years","Number","Total","91,648",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 20 to 24 years","Number","Males","46,769",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 20 to 24 years","Number","Females","44,879",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 25 to 29 years","Number","Total","105,719",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 25 to 29 years","Number","Males","63,422",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 25 to 29 years","Number","Females","42,297",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 30 to 34 years","Number","Total","89,233",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 30 to 34 years","Number","Males","58,825",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 30 to 34 years","Number","Females","30,408",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 35 to 39 years","Number","Total","73,521",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 35 to 39 years","Number","Males","50,480",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 35 to 39 years","Number","Females","23,041",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 40 to 44 years","Number","Total","59,043",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 40 to 44 years","Number","Males","41,131",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 40 to 44 years","Number","Females","17,912",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 45 to 49 years","Number","Total","46,262",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 45 to 49 years","Number","Males","32,817",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 45 to 49 years","Number","Females","13,445",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 50 to 54 years","Number","Total","32,826",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 50 to 54 years","Number","Males","22,996",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 50 to 54 years","Number","Females","9,830",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 55 to 59 years","Number","Total","19,713",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 55 to 59 years","Number","Males","12,475",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 55 to 59 years","Number","Females","7,238",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 60 to 64 years","Number","Total","14,000",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 60 to 64 years","Number","Males","8,188",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 60 to 64 years","Number","Females","5,812",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 65 to 69 years","Number","Total","11,888",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 65 to 69 years","Number","Males","7,220",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","From 65 to 69 years","Number","Females","4,668",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Total","24,340",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Males","13,419",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","65 years or over","Number","Females","10,921",""
"2007","Estonia","Total","Age reached during the year","Total","Number","Total","4,384",""
"2007","Estonia","Total","Age reached during the year","Total","Number","Males","2,080",""
"2007","Estonia","Total","Age reached during the year","Total","Number","Females","2,304",""
"2007","Estonia","Total","Age reached during the year","Less than 5 years","Number","Total","206",""
"2007","Estonia","Total","Age reached during the year","Less than 5 years","Number","Males","111",""
"2007","Estonia","Total","Age reached during the year","Less than 5 years","Number","Females","95",""
"2007","Estonia","Total","Age reached during the year","From 5 to 9 years","Number","Total","207",""
"2007","Estonia","Total","Age reached during the year","From 5 to 9 years","Number","Males","90",""
"2007","Estonia","Total","Age reached during the year","From 5 to 9 years","Number","Females","117",""
"2007","Estonia","Total","Age reached during the year","From 10 to 14 years","Number","Total","186",""
"2007","Estonia","Total","Age reached during the year","From 10 to 14 years","Number","Males","89",""
"2007","Estonia","Total","Age reached during the year","From 10 to 14 years","Number","Females","97",""
"2007","Estonia","Total","Age reached during the year","Less than 15 years","Number","Total","599",""
"2007","Estonia","Total","Age reached during the year","Less than 15 years","Number","Males","290",""
"2007","Estonia","Total","Age reached during the year","Less than 15 years","Number","Females","309",""
"2007","Estonia","Total","Age reached during the year","From 15 to 19 years","Number","Total","260",""
"2007","Estonia","Total","Age reached during the year","From 15 to 19 years","Number","Males","133",""
"2007","Estonia","Total","Age reached during the year","From 15 to 19 years","Number","Females","127",""
"2007","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Total","3,640",""
"2007","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Males","1,743",""
"2007","Estonia","Total","Age reached during the year","From 15 to 64 years","Number","Females","1,897",""
"2007","Estonia","Total","Age reached during the year","From 20 to 24 years","Number","Total","554",""
"2007","Estonia","Total","Age reached during the year","From 20 to 24 years","Number","Males","258",""
"2007","Estonia","Total","Age reached during the year","From 20 to 24 years","Number","Females","296",""
"2007","Estonia","Total","Age reached during the year","From 25 to 29 years","Number","Total","676",""
"2007","Estonia","Total","Age reached during the year","From 25 to 29 years","Number","Males","302",""
"2007","Estonia","Total","Age reached during the year","From 25 to 29 years","Number","Females","374",""
"2007","Estonia","Total","Age reached during the year","From 30 to 34 years","Number","Total","518",""
"2007","Estonia","Total","Age reached during the year","From 30 to 34 years","Number","Males","247",""
"2007","Estonia","Total","Age reached during the year","From 30 to 34 years","Number","Females","271",""
"2007","Estonia","Total","Age reached during the year","From 35 to 39 years","Number","Total","464",""
"2007","Estonia","Total","Age reached during the year","From 35 to 39 years","Number","Males","253",""
"2007","Estonia","Total","Age reached during the year","From 35 to 39 years","Number","Females","211",""
"2007","Estonia","Total","Age reached during the year","From 40 to 44 years","Number","Total","397",""
"2007","Estonia","Total","Age reached during the year","From 40 to 44 years","Number","Males","201",""
"2007","Estonia","Total","Age reached during the year","From 40 to 44 years","Number","Females","196",""
"2007","Estonia","Total","Age reached during the year","From 45 to 49 years","Number","Total","385",""
"2007","Estonia","Total","Age reached during the year","From 45 to 49 years","Number","Males","181",""
"2007","Estonia","Total","Age reached during the year","From 45 to 49 years","Number","Females","204",""
"2007","Estonia","Total","Age reached during the year","From 50 to 54 years","Number","Total","224",""
"2007","Estonia","Total","Age reached during the year","From 50 to 54 years","Number","Males","98",""
"2007","Estonia","Total","Age reached during the year","From 50 to 54 years","Number","Females","126",""
"2007","Estonia","Total","Age reached during the year","From 55 to 59 years","Number","Total","111",""
"2007","Estonia","Total","Age reached during the year","From 55 to 59 years","Number","Males","45",""
"2007","Estonia","Total","Age reached during the year","From 55 to 59 years","Number","Females","66",""
"2007","Estonia","Total","Age reached during the year","From 60 to 64 years","Number","Total","51",""
"2007","Estonia","Total","Age reached during the year","From 60 to 64 years","Number","Males","25",""
"2007","Estonia","Total","Age reached during the year","From 60 to 64 years","Number","Females","26",""
"2007","Estonia","Total","Age reached during the year","From 65 to 69 years","Number","Total","43",""
"2007","Estonia","Total","Age reached during the year","From 65 to 69 years","Number","Males","15",""
"2007","Estonia","Total","Age reached during the year","From 65 to 69 years","Number","Females","28",""
"2007","Estonia","Total","Age reached during the year","65 years or over","Number","Total","145",""
"2007","Estonia","Total","Age reached during the year","65 years or over","Number","Males","47",""
