"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2011","Germany (until 1990 former territory of the FRG)","Sweden","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Norway","Age reached during the year","Total","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2011","Estonia","Total","Age reached during the year","Total","Number","Total","6,214",""
"2011","Estonia","Belgium","Age reached during the year","Total","Number","Total","36",""
"2011","Estonia","Bulgaria","Age reached during the year","Total","Number","Total","12",""
"2011","Estonia","Czechia","Age reached during the year","Total","Number","Total","19",""
"2011","Estonia","Denmark","Age reached during the year","Total","Number","Total","28",""
"2011","Estonia","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","282",""
"2011","Estonia","Estonia","Age reached during the year","Total","Number","Total","0",""
"2011","Estonia","Ireland","Age reached during the year","Total","Number","Total","189",""
"2011","Estonia","Greece","Age reached during the year","Total","Number","Total","5",""
"2011","Estonia","Spain","Age reached during the year","Total","Number","Total","53",""
"2011","Estonia","France","Age reached during the year","Total","Number","Total","50",""
"2011","Estonia","Croatia","Age reached during the year","Total","Number","Total","3",""
"2011","Estonia","Italy","Age reached during the year","Total","Number","Total","39",""
"2011","Estonia","Cyprus","Age reached during the year","Total","Number","Total","7",""
"2011","Estonia","Latvia","Age reached during the year","Total","Number","Total","27",""
"2011","Estonia","Lithuania","Age reached during the year","Total","Number","Total","50",""
"2011","Estonia","Luxembourg","Age reached during the year","Total","Number","Total","15",""
"2011","Estonia","Hungary","Age reached during the year","Total","Number","Total","12",""
"2011","Estonia","Netherlands","Age reached during the year","Total","Number","Total","28",""
"2011","Estonia","Austria","Age reached during the year","Total","Number","Total","33",""
"2011","Estonia","Poland","Age reached during the year","Total","Number","Total","10",""
"2011","Estonia","Portugal","Age reached during the year","Total","Number","Total","4",""
"2011","Estonia","Romania","Age reached during the year","Total","Number","Total","0",""
"2011","Estonia","Slovenia","Age reached during the year","Total","Number","Total","2",""
"2011","Estonia","Slovakia","Age reached during the year","Total","Number","Total","7",""
"2011","Estonia","Finland","Age reached during the year","Total","Number","Total","3,597",""
"2011","Estonia","Sweden","Age reached during the year","Total","Number","Total","167",""
"2011","Estonia","United Kingdom","Age reached during the year","Total","Number","Total","779",""
"2011","Estonia","Norway","Age reached during the year","Total","Number","Total","117",""
"2011","Estonia","Switzerland","Age reached during the year","Total","Number","Total","33",""
"2011","Ireland","Total","Age reached during the year","Total","Number","Total","83,049","b"
"2011","Ireland","Belgium","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Czechia","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Denmark","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Estonia","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Ireland","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Greece","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Spain","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","France","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Croatia","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Italy","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Latvia","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Hungary","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Austria","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Poland","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Portugal","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Romania","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Finland","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Sweden","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Norway","Age reached during the year","Total","Number","Total",":",""
"2011","Ireland","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","Total","Number","Total","92,404",""
"2011","Greece","Belgium","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Czechia","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Denmark","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Estonia","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Ireland","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Greece","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Spain","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","France","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Croatia","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Italy","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Latvia","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Hungary","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Austria","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Poland","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Portugal","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Romania","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Finland","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Sweden","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Norway","Age reached during the year","Total","Number","Total",":",""
"2011","Greece","Switzerland","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Total","Age reached during the year","Total","Number","Total","409,034",""
"2011","Spain","Belgium","Age reached during the year","Total","Number","Total","8,189",""
"2011","Spain","Bulgaria","Age reached during the year","Total","Number","Total","8,161",""
"2011","Spain","Czechia","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Denmark","Age reached during the year","Total","Number","Total","717",""
"2011","Spain","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","14,794",""
"2011","Spain","Estonia","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Ireland","Age reached during the year","Total","Number","Total","1,047",""
"2011","Spain","Greece","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Spain","Age reached during the year","Total","Number","Total","0",""
"2011","Spain","France","Age reached during the year","Total","Number","Total","19,923",""
"2011","Spain","Croatia","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Italy","Age reached during the year","Total","Number","Total","7,696",""
"2011","Spain","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Latvia","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Lithuania","Age reached during the year","Total","Number","Total","1,010",""
"2011","Spain","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Hungary","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Netherlands","Age reached during the year","Total","Number","Total","4,755",""
"2011","Spain","Austria","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Poland","Age reached during the year","Total","Number","Total","4,917",""
"2011","Spain","Portugal","Age reached during the year","Total","Number","Total","11,042",""
"2011","Spain","Romania","Age reached during the year","Total","Number","Total","42,505",""
"2011","Spain","Slovenia","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Slovakia","Age reached during the year","Total","Number","Total",":",""
"2011","Spain","Finland","Age reached during the year","Total","Number","Total","446",""
"2011","Spain","Sweden","Age reached during the year","Total","Number","Total","1,444",""
"2011","Spain","United Kingdom","Age reached during the year","Total","Number","Total","17,588",""
"2011","Spain","Norway","Age reached during the year","Total","Number","Total","865",""
"2011","Spain","Switzerland","Age reached during the year","Total","Number","Total","5,173",""
"2011","France","Total","Age reached during the year","Total","Number","Total","291,594",""
"2011","France","Belgium","Age reached during the year","Total","Number","Total",":",""
"2011","France","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2011","France","Czechia","Age reached during the year","Total","Number","Total",":",""
"2011","France","Denmark","Age reached during the year","Total","Number","Total",":",""
"2011","France","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total",":",""
"2011","France","Estonia","Age reached during the year","Total","Number","Total",":",""
"2011","France","Ireland","Age reached during the year","Total","Number","Total",":",""
"2011","France","Greece","Age reached during the year","Total","Number","Total",":",""
"2011","France","Spain","Age reached during the year","Total","Number","Total",":",""
"2011","France","France","Age reached during the year","Total","Number","Total",":",""
"2011","France","Croatia","Age reached during the year","Total","Number","Total",":",""
"2011","France","Italy","Age reached during the year","Total","Number","Total",":",""
"2011","France","Cyprus","Age reached during the year","Total","Number","Total",":",""
"2011","France","Latvia","Age reached during the year","Total","Number","Total",":",""
"2011","France","Lithuania","Age reached during the year","Total","Number","Total",":",""
"2011","France","Luxembourg","Age reached during the year","Total","Number","Total",":",""
"2011","France","Hungary","Age reached during the year","Total","Number","Total",":",""
"2011","France","Netherlands","Age reached during the year","Total","Number","Total",":",""
"2011","France","Austria","Age reached during the year","Total","Number","Total",":",""
