"TIME","GEO","PARTNER","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Denmark","Italy","Age reached during the year","Total","Number","Total","546",""
"2007","Denmark","Cyprus","Age reached during the year","Total","Number","Total","21",""
"2007","Denmark","Latvia","Age reached during the year","Total","Number","Total","216",""
"2007","Denmark","Lithuania","Age reached during the year","Total","Number","Total","615",""
"2007","Denmark","Luxembourg","Age reached during the year","Total","Number","Total","114",""
"2007","Denmark","Hungary","Age reached during the year","Total","Number","Total","168",""
"2007","Denmark","Malta","Age reached during the year","Total","Number","Total","34",""
"2007","Denmark","Netherlands","Age reached during the year","Total","Number","Total","647",""
"2007","Denmark","Austria","Age reached during the year","Total","Number","Total","201",""
"2007","Denmark","Poland","Age reached during the year","Total","Number","Total","1,335",""
"2007","Denmark","Portugal","Age reached during the year","Total","Number","Total","91",""
"2007","Denmark","Romania","Age reached during the year","Total","Number","Total","139",""
"2007","Denmark","Slovenia","Age reached during the year","Total","Number","Total","42",""
"2007","Denmark","Slovakia","Age reached during the year","Total","Number","Total","103",""
"2007","Denmark","Finland","Age reached during the year","Total","Number","Total","345",""
"2007","Denmark","Sweden","Age reached during the year","Total","Number","Total","6,400",""
"2007","Denmark","United Kingdom","Age reached during the year","Total","Number","Total","2,858",""
"2007","Denmark","Norway","Age reached during the year","Total","Number","Total","2,830",""
"2007","Denmark","Switzerland","Age reached during the year","Total","Number","Total","536",""
"2007","Denmark","Turkey","Age reached during the year","Total","Number","Total","321",""
"2007","Denmark","Serbia","Age reached during the year","Total","Number","Total","52",""
"2007","Denmark","Russia","Age reached during the year","Total","Number","Total","167",""
"2007","Denmark","Africa","Age reached during the year","Total","Number","Total","923",""
"2007","Denmark","Northern America","Age reached during the year","Total","Number","Total",":",""
"2007","Denmark","United States","Age reached during the year","Total","Number","Total","3,003",""
"2007","Denmark","Central America","Age reached during the year","Total","Number","Total",":",""
"2007","Denmark","South America","Age reached during the year","Total","Number","Total",":",""
